State,Total Students,American Indian or Alaska Native Number,American Indian or Alaska Native Percent,Asian Number,Asian Percent,Hispanic or Latino of any race Number,Hispanic or Latino of any race Percent,Black or African American Number,Black or African American Percent,White Number,White Percent,Native Hawaiian or Other Pacific Islander Number,Native Hawaiian or Other Pacific Islander Percent,Two or more races Number,Two or more races Percent,Students With Disabilities Served Under IDEA Number,Students With Disabilities Served Under IDEA Percent,Students With Disabilities Served Only Under Section 504 Number,Students With Disabilities Served Only Under Section 504 Percent,English Language Learners Number,English Language Learners Percent,Number of Schools,Percent of Schools Reporting
United States,79264,1786,2.3,2260,2.9,15670,19.8,18324,23.1,38449,48.5,324,0.4,2451,3.1,10421,13.1,846,1.1,4553,5.7,95635,92
Alabama,1879,4,0.2,9,0.5,48,2.6,1054,56.1,740,39.4,01-Mar,0.1,22,1.2,173,9.2,6,0.3,18,1,1432,100
Alaska,201,44,21.9,4,2,16,8,24,11.9,78,38.8,15,7.5,20,10,33,16.4,4,2,33,16.4,493,100
Arizona,1059,218,20.6,7,0.7,397,37.5,122,11.5,296,28,4,0.4,15,1.4,115,10.9,11,1,21,2,1920,95.4
Arkansas,1121,01-Mar,0.2,7,0.6,98,8.7,420,37.5,581,51.8,4,0.4,9,0.8,71,6.3,14,1.2,51,4.5,1097,100
California,9943,122,1.2,415,4.2,4352,43.8,1230,12.4,3412,34.3,83,0.8,329,3.3,1376,13.8,102,1,1606,16.2,9866,94.5
Colorado,18890,107,0.6,1294,6.9,3924,20.8,3068,16.2,9512,50.4,59,0.3,926,4.9,2159,11.4,202,1.1,1123,5.9,1811,94
Connecticut,638,4,0.6,6,0.9,139,21.8,141,22.1,338,53,0,0,10,1.6,86,13.5,8,1.3,25,3.9,1122,100
Delaware,61,0,0,0,0,01-Mar,3.3,27,44.3,28,45.9,0,0,4,6.6,8,13.1,0,0,01-Mar,3.3,232,100
District of Columbia,4,0,0,0,0,0,0,4,100,0,0,0,0,0,0,01-Mar,50,0,0,0,0,211,41.2
Florida,356,0,0,4,1.1,165,46.3,85,23.9,93,26.1,0,0,9,2.5,0,0,15,4.2,46,12.9,3886,100
Georgia,570,4,0.7,01-Mar,0.4,45,7.9,252,44.2,245,43,4,0.7,18,3.2,73,12.8,4,0.7,01-Mar,0.4,2422,84.4
Hawaii,70,0,0,11,15.7,4,5.7,01-Mar,2.9,7,10,42,60,4,5.7,01-Mar,2.9,01-Mar,2.9,10,14.3,286,100
Idaho,624,69,11.1,0,0,144,23.1,6,1,389,62.3,01-Mar,0.3,14,2.2,42,6.7,7,1.1,25,4,703,99.7
Illinois,4137,13,0.3,49,1.2,758,18.3,1544,37.3,1650,39.9,01-Mar,0,121,2.9,556,13.4,34,0.8,332,8,4221,98.8
Indiana,1125,6,0.5,6,0.5,137,12.2,195,17.3,718,63.8,0,0,63,5.6,129,11.5,12,1.1,44,3.9,1875,95.2
Iowa,592,01-Mar,0.3,01-Mar,0.3,67,11.3,53,9,456,77,0,0,12,2,67,11.3,4,0.7,5,0.8,1458,100
Kansas,699,11,1.6,16,2.3,117,16.7,89,12.7,438,62.7,0,0,28,4,86,12.3,01-Mar,0.3,40,5.7,1389,97.5
Kentucky,609,0,0,01-Mar,0.3,29,4.8,157,25.8,400,65.7,0,0,21,3.4,69,11.3,7,1.1,4,0.7,1417,100
Louisiana,232,0,0,4,1.7,4,1.7,136,58.6,84,36.2,0,0,4,1.7,26,11.2,8,3.4,0,0,1394,96.1
Maine,204,4,2,0,0,01-Mar,1,20,9.8,174,85.3,0,0,4,2,29,14.2,4,2,01-Mar,1,595,98.8
Maryland,453,01-Mar,0.4,9,2,14,3.1,56,12.4,353,77.9,0,0,19,4.2,65,14.3,22,4.9,4,0.9,1444,100
Massachusetts,542,01-Mar,0.4,4,0.7,115,21.2,91,16.8,314,57.9,0,0,16,3,80,14.8,8,1.5,8,1.5,1834,97.5
Michigan,2440,34,1.4,25,1,128,5.2,596,24.4,1632,66.9,0,0,25,1,209,8.6,7,0.3,45,1.8,3626,97.7
Minnesota,2927,140,4.8,45,1.5,183,6.3,1351,46.2,1152,39.4,17,0.6,39,1.3,620,21.2,9,0.3,140,4.8,2077,95
Mississippi,212,01-Mar,0.9,0,0,4,1.9,109,51.4,97,45.8,0,0,0,0,4,1.9,0,0,0,0,973,100
Missouri,1236,4,0.3,9,0.7,40,3.2,459,37.1,701,56.7,6,0.5,17,1.4,127,10.3,4,0.3,11,0.9,2312,98.6
Montana,587,370,63,0,0,16,2.7,16,2.7,183,31.2,0,0,01-Mar,0.3,29,4.9,4,0.7,61,10.4,781,99.2
Nebraska,386,11,2.8,01-Mar,0.5,67,17.4,25,6.5,279,72.3,0,0,01-Mar,0.5,36,9.3,01-Mar,0.5,13,3.4,1073,84.2
Nevada,967,13,1.3,21,2.2,394,40.7,202,20.9,267,27.6,9,0.9,61,6.3,143,14.8,16,1.7,138,14.3,649,100
New Hampshire,217,0,0,8,3.7,11,5.1,18,8.3,175,80.6,0,0,5,2.3,25,11.5,5,2.3,01-Mar,0.9,478,98.5
New Jersey,2400,01-Mar,0.1,87,3.6,545,22.7,650,27.1,1099,45.8,01-Mar,0.1,15,0.6,285,11.9,20,0.8,14,0.6,2538,100
New Mexico,411,41,10,0,0,242,58.9,17,4.1,111,27,0,0,0,0,47,11.4,0,0,48,11.7,853,96.6
New York,2300,16,0.7,30,1.3,254,11,425,18.5,1549,67.3,0,0,26,1.1,322,14,37,1.6,28,1.2,4864,64.3
North Carolina,907,19,2.1,4,0.4,139,15.3,313,34.5,413,45.5,0,0,19,2.1,69,7.6,10,1.1,23,2.5,2535,84.1
North Dakota,193,74,38.3,0,0,6,3.1,7,3.6,106,54.9,0,0,0,0,11,5.7,01-Mar,1,4,2.1,468,99.6
Ohio,1848,01-Mar,0.1,7,0.4,71,3.8,522,28.2,1147,62.1,4,0.2,95,5.1,194,10.5,13,0.7,14,0.8,3702,94.2
Oklahoma,955,165,17.3,4,0.4,118,12.4,148,15.5,510,53.4,01-Mar,0.2,8,0.8,100,10.5,0,0,13,1.4,"1,774",93.3
Oregon,931,36,3.9,10,1.1,199,21.4,28,3,605,65,01-Mar,0.2,51,5.5,179,19.2,10,1.1,64,6.9,"1,312",87.9
Pennsylvania,"2,333",01-Mar,0.1,25,1.1,119,5.1,753,32.3,"1,340",57.4,0,0,94,4,489,21,12,0.5,29,1.2,"3,220",99.6
Rhode Island,237,01-Mar,0.8,4,1.7,27,11.4,38,16,162,68.4,0,0,4,1.7,38,16,01-Mar,0.8,01-Mar,0.8,291,100
South Carolina,386,6,1.6,0,0,10,2.6,198,51.3,168,43.5,0,0,4,1,37,9.6,6,1.6,01-Mar,0.5,"1,219",86
South Dakota,149,35,23.5,7,4.7,7,4.7,4,2.7,94,63.1,0,0,01-Mar,1.3,14,9.4,0,0,0,0,668,100
Tennessee,"2,803",0,0,10,0.4,87,3.1,"2,070",73.8,626,22.3,01-Mar,0.1,8,0.3,557,19.9,13,0.5,32,1.1,"1,802",97.9
Texas,"3,327",18,0.5,28,0.8,"1,365",41,727,21.9,"1,117",33.6,4,0.1,68,2,411,12.4,128,3.8,209,6.3,"8,472",79.2
Utah,949,27,2.8,6,0.6,320,33.7,44,4.6,475,50.1,47,5,30,3.2,65,6.8,4,0.4,57,6,981,100
Vermont,206,01-Mar,1,01-Mar,1,4,1.9,14,6.8,182,88.3,0,0,01-Mar,1,36,17.5,12,5.8,4,1.9,295,100
Virginia,293,01-Mar,0.7,01-Mar,0.7,10,3.4,73,24.9,202,68.9,0,0,4,1.4,41,14,6,2,9,3.1,"1,984",70.8
Washington,"2,475",75,3,40,1.6,519,21,337,13.6,"1,372",55.4,19,0.8,113,4.6,500,20.2,43,1.7,142,5.7,"2,256",89.3
West Virginia,761,0,0,01-Mar,0.3,4,0.5,99,13,626,82.3,01-Mar,0.3,28,3.7,88,11.6,01-Mar,0.3,01-Mar,0.3,733,90.5
Wisconsin,"2,351",70,3,33,1.4,198,8.4,300,12.8,"1,693",72,0,0,57,2.4,474,20.2,6,0.3,50,2.1,"2,242",92.1
Wyoming,91,12,13.2,0,0,9,9.9,4,4.4,60,65.9,0,0,6,6.6,22,24.2,0,0,01-Mar,2.2,349,100
